# Scenario Kshort
# 1,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,6
# Xs, Xs, Xs, Xs, Xs, Xs, Ys, Ys, Ys, Ys, Ys, Ys, Vs, Vs, Vs, Vs, Vs, Vs, betafit, betafit, betafit, betafit, betafit, betafit, 
# 
45.0 45.0 45.0 45.0 45.0 45.0 35.0 35.0 35.0 35.0 35.0 35.0 900.0 900.0 900.0 900.0 900.0 900.0 1.24e+01 1.24e+01 1.23e+01 1.20e+01 1.24e+01 1.32e+01
55.0 55.0 55.0 55.0 55.0 55.0 35.0 35.0 35.0 35.0 35.0 35.0 1100.0 1100.0 1100.0 1100.0 1100.0 1100.0 1.26e+01 1.24e+01 1.25e+01 1.23e+01 1.22e+01 1.29e+01
65.0 65.0 65.0 65.0 65.0 65.0 35.0 35.0 35.0 35.0 35.0 35.0 412.4 412.4 412.4 412.4 412.4 412.4 3.93e+00 3.84e+00 3.96e+00 3.85e+00 3.93e+00 4.04e+00
75.0 75.0 75.0 75.0 75.0 75.0 35.0 35.0 35.0 35.0 35.0 35.0 184.2 157.1 157.1 157.1 157.1 157.1 1.53e+00 1.27e+00 1.30e+00 1.28e+00 1.30e+00 1.32e+00
85.0 85.0 85.0 85.0 85.0 85.0 35.0 35.0 35.0 35.0 35.0 35.0 106.8 106.8 96.0 96.0 96.0 96.0 7.77e-01 7.65e-01 6.95e-01 6.91e-01 6.99e-01 7.15e-01
95.0 95.0 95.0 95.0 95.0 95.0 35.0 35.0 35.0 35.0 35.0 35.0 73.5 73.5 67.5 67.5 67.5 67.5 4.79e-01 4.70e-01 4.38e-01 4.38e-01 4.43e-01 4.45e-01
105.0 105.0 105.0 105.0 105.0 105.0 35.0 35.0 35.0 35.0 35.0 35.0 54.5 54.5 50.7 54.5 54.5 50.7 3.25e-01 3.15e-01 2.99e-01 3.21e-01 3.22e-01 3.02e-01
115.0 115.0 115.0 115.0 115.0 115.0 35.0 35.0 35.0 35.0 35.0 35.0 42.1 42.1 42.1 42.1 42.1 42.1 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
125.0 125.0 125.0 125.0 125.0 125.0 35.0 35.0 35.0 35.0 35.0 35.0 35.6 35.6 35.6 35.6 35.6 35.6 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
150.0 150.0 150.0 150.0 150.0 150.0 35.0 35.0 35.0 35.0 35.0 35.0 20.5 21.1 20.0 21.1 20.5 20.0 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
175.0 175.0 175.0 175.0 175.0 175.0 35.0 35.0 35.0 35.0 35.0 35.0 11.9 12.8 11.6 12.4 12.4 11.7 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
200.0 200.0 200.0 200.0 200.0 200.0 35.0 35.0 35.0 35.0 35.0 35.0 8.1 8.5 8.0 8.3 8.5 8.3 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
225.0 225.0 225.0 225.0 225.0 225.0 35.0 35.0 35.0 35.0 35.0 35.0 6.1 6.3 6.1 6.3 6.4 6.4 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
250.0 250.0 250.0 250.0 250.0 250.0 35.0 35.0 35.0 35.0 35.0 35.0 5.0 5.2 5.0 5.2 5.2 5.2 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
275.0 275.0 275.0 275.0 275.0 275.0 35.0 35.0 35.0 35.0 35.0 35.0 4.3 4.4 4.3 4.4 4.4 4.4 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
300.0 300.0 300.0 300.0 300.0 300.0 35.0 35.0 35.0 35.0 35.0 35.0 3.8 3.9 3.8 3.9 3.9 3.9 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
5.0 5.0 5.0 5.0 5.0 5.0 45.0 45.0 45.0 45.0 45.0 45.0 100.0 100.0 100.0 100.0 100.0 100.0 1.11e+01 9.73e+00 1.31e+01 1.18e+01 1.24e+01 1.25e+01
10.0 10.0 10.0 10.0 10.0 10.0 45.0 45.0 45.0 45.0 45.0 45.0 200.0 200.0 200.0 200.0 200.0 200.0 1.22e+01 1.13e+01 1.36e+01 1.20e+01 1.34e+01 1.20e+01
15.0 15.0 15.0 15.0 15.0 15.0 45.0 45.0 45.0 45.0 45.0 45.0 300.0 300.0 300.0 300.0 300.0 300.0 1.24e+01 1.19e+01 1.42e+01 1.19e+01 1.30e+01 1.21e+01
20.0 20.0 20.0 20.0 20.0 20.0 45.0 45.0 45.0 45.0 45.0 45.0 400.0 400.0 400.0 400.0 400.0 400.0 1.25e+01 1.21e+01 1.35e+01 1.17e+01 1.29e+01 1.19e+01
25.0 25.0 25.0 25.0 25.0 25.0 45.0 45.0 45.0 45.0 45.0 45.0 500.0 500.0 500.0 500.0 500.0 500.0 1.29e+01 1.24e+01 1.35e+01 1.15e+01 1.30e+01 1.20e+01
35.0 35.0 35.0 35.0 35.0 35.0 45.0 45.0 45.0 45.0 45.0 45.0 700.0 700.0 700.0 700.0 700.0 700.0 1.27e+01 1.23e+01 1.29e+01 1.15e+01 1.29e+01 1.21e+01
45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 900.0 900.0 900.0 900.0 900.0 900.0 1.26e+01 1.22e+01 1.26e+01 1.16e+01 1.28e+01 1.21e+01
55.0 55.0 55.0 55.0 55.0 55.0 45.0 45.0 45.0 45.0 45.0 45.0 1100.0 1100.0 1100.0 1100.0 1100.0 1100.0 1.25e+01 1.21e+01 1.26e+01 1.19e+01 1.28e+01 1.24e+01
65.0 65.0 65.0 65.0 65.0 65.0 45.0 45.0 45.0 45.0 45.0 45.0 412.4 412.4 412.4 634.1 412.4 412.4 4.01e+00 3.85e+00 4.02e+00 5.77e+00 3.95e+00 3.93e+00
75.0 75.0 75.0 75.0 75.0 75.0 45.0 45.0 45.0 45.0 45.0 45.0 184.2 157.1 157.1 184.2 157.1 184.2 1.54e+00 1.28e+00 1.33e+00 1.47e+00 1.30e+00 1.54e+00
85.0 85.0 85.0 85.0 85.0 85.0 45.0 45.0 45.0 45.0 45.0 45.0 96.0 106.8 96.0 106.8 96.0 106.8 7.11e-01 7.72e-01 7.04e-01 7.41e-01 6.97e-01 7.88e-01
95.0 95.0 95.0 95.0 95.0 95.0 45.0 45.0 45.0 45.0 45.0 45.0 67.5 73.5 67.5 73.5 67.5 73.5 4.47e-01 4.70e-01 4.40e-01 4.56e-01 4.40e-01 4.85e-01
105.0 105.0 105.0 105.0 105.0 105.0 45.0 45.0 45.0 45.0 45.0 45.0 50.7 54.5 54.5 54.5 50.7 54.5 3.04e-01 3.19e-01 3.21e-01 3.09e-01 3.00e-01 3.23e-01
115.0 115.0 115.0 115.0 115.0 115.0 45.0 45.0 45.0 45.0 45.0 45.0 42.1 42.1 42.1 45.0 42.1 42.1 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
125.0 125.0 125.0 125.0 125.0 125.0 45.0 45.0 45.0 45.0 45.0 45.0 35.6 37.7 35.6 37.7 37.7 35.6 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
150.0 150.0 150.0 150.0 150.0 150.0 45.0 45.0 45.0 45.0 45.0 45.0 21.1 21.1 20.5 22.3 21.1 21.1 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
175.0 175.0 175.0 175.0 175.0 175.0 45.0 45.0 45.0 45.0 45.0 45.0 12.1 12.4 12.1 12.4 12.6 12.1 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
200.0 200.0 200.0 200.0 200.0 200.0 45.0 45.0 45.0 45.0 45.0 45.0 8.4 8.2 8.2 8.4 8.4 8.2 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
225.0 225.0 225.0 225.0 225.0 225.0 45.0 45.0 45.0 45.0 45.0 45.0 6.4 6.3 6.2 6.4 6.4 6.3 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
250.0 250.0 250.0 250.0 250.0 250.0 45.0 45.0 45.0 45.0 45.0 45.0 5.1 5.2 5.1 5.2 5.2 5.2 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
275.0 275.0 275.0 275.0 275.0 275.0 45.0 45.0 45.0 45.0 45.0 45.0 4.4 4.4 4.3 4.5 4.4 4.4 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
300.0 300.0 300.0 300.0 300.0 300.0 45.0 45.0 45.0 45.0 45.0 45.0 3.9 3.9 3.8 3.9 3.9 3.9 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
5.0 5.0 5.0 5.0 5.0 5.0 55.0 55.0 55.0 55.0 55.0 55.0 100.0 100.0 100.0 100.0 100.0 100.0 1.01e+01 1.21e+01 1.23e+01 1.31e+01 1.02e+01 1.22e+01
10.0 10.0 10.0 10.0 10.0 10.0 55.0 55.0 55.0 55.0 55.0 55.0 200.0 200.0 200.0 200.0 200.0 200.0 1.11e+01 1.11e+01 1.30e+01 1.28e+01 1.14e+01 1.26e+01
15.0 15.0 15.0 15.0 15.0 15.0 55.0 55.0 55.0 55.0 55.0 55.0 300.0 300.0 300.0 300.0 300.0 300.0 1.13e+01 1.19e+01 1.26e+01 1.33e+01 1.16e+01 1.23e+01
20.0 20.0 20.0 20.0 20.0 20.0 55.0 55.0 55.0 55.0 55.0 55.0 400.0 400.0 400.0 400.0 400.0 400.0 1.15e+01 1.24e+01 1.28e+01 1.28e+01 1.16e+01 1.27e+01
