# Scenario Kshort
# 1,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,6
# Xs, Xs, Xs, Xs, Xs, Xs, Ys, Ys, Ys, Ys, Ys, Ys, Vs, Vs, Vs, Vs, Vs, Vs, betafit, betafit, betafit, betafit, betafit, betafit, 
# 
150.0 150.0 150.0 150.0 150.0 150.0 45.0 45.0 45.0 45.0 45.0 45.0 0.5 0.4 0.4 0.3 0.4 0.8 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
175.0 175.0 175.0 175.0 175.0 175.0 45.0 45.0 45.0 45.0 45.0 45.0 0.6 0.3 0.4 0.3 0.3 0.8 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
200.0 200.0 200.0 200.0 200.0 200.0 45.0 45.0 45.0 45.0 45.0 45.0 0.5 0.5 0.4 0.3 0.6 0.6 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
225.0 225.0 225.0 225.0 225.0 225.0 45.0 45.0 45.0 45.0 45.0 45.0 0.5 0.5 0.3 0.4 0.4 0.4 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
250.0 250.0 250.0 250.0 250.0 250.0 45.0 45.0 45.0 45.0 45.0 45.0 0.5 0.5 0.4 0.2 0.4 0.7 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
275.0 275.0 275.0 275.0 275.0 275.0 45.0 45.0 45.0 45.0 45.0 45.0 0.5 0.5 0.3 0.3 0.3 0.7 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
300.0 300.0 300.0 300.0 300.0 300.0 45.0 45.0 45.0 45.0 45.0 45.0 0.5 0.5 0.4 0.3 0.4 0.6 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
5.0 5.0 5.0 5.0 5.0 5.0 55.0 55.0 55.0 55.0 55.0 55.0 0.7 0.4 0.7 0.3 0.4 1.5 1.64e-01 1.66e-01 1.64e-01 1.67e-01 1.66e-01 1.59e-01
10.0 10.0 10.0 10.0 10.0 10.0 55.0 55.0 55.0 55.0 55.0 55.0 0.4 0.5 0.6 0.2 0.2 2.0 9.19e-02 9.15e-02 9.12e-02 9.27e-02 9.28e-02 8.76e-02
15.0 15.0 15.0 15.0 15.0 15.0 55.0 55.0 55.0 55.0 55.0 55.0 0.3 1.0 0.6 0.3 0.4 1.5 6.33e-02 6.18e-02 6.27e-02 6.35e-02 6.30e-02 6.11e-02
