# Scenario Kshort
# 1,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,6
# Xs, Xs, Xs, Xs, Xs, Xs, Ys, Ys, Ys, Ys, Ys, Ys, Vs, Vs, Vs, Vs, Vs, Vs, betafit, betafit, betafit, betafit, betafit, betafit, 
# 
150.0 150.0 150.0 150.0 150.0 150.0 35.0 35.0 35.0 35.0 35.0 35.0 42.7 38.3 48.1 45.2 40.4 45.2 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
175.0 175.0 175.0 175.0 175.0 175.0 35.0 35.0 35.0 35.0 35.0 35.0 30.6 24.6 31.7 30.6 27.7 28.6 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
200.0 200.0 200.0 200.0 200.0 200.0 35.0 35.0 35.0 35.0 35.0 35.0 19.0 15.5 21.5 20.2 16.8 16.0 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
225.0 225.0 225.0 225.0 225.0 225.0 35.0 35.0 35.0 35.0 35.0 35.0 13.1 11.3 14.1 14.7 12.3 11.0 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
250.0 250.0 250.0 250.0 250.0 250.0 35.0 35.0 35.0 35.0 35.0 35.0 9.0 8.8 10.0 10.8 8.6 8.5 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
275.0 275.0 275.0 275.0 275.0 275.0 35.0 35.0 35.0 35.0 35.0 35.0 7.3 7.0 8.6 8.8 6.8 7.4 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
300.0 300.0 300.0 300.0 300.0 300.0 35.0 35.0 35.0 35.0 35.0 35.0 6.3 6.0 7.1 7.4 5.8 6.1 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
5.0 5.0 5.0 5.0 5.0 5.0 45.0 45.0 45.0 45.0 45.0 45.0 100.0 100.0 100.0 100.0 100.0 100.0 2.41e+01 6.70e+00 2.06e+01 1.81e+01 9.96e+00 2.10e+01
10.0 10.0 10.0 10.0 10.0 10.0 45.0 45.0 45.0 45.0 45.0 45.0 200.0 200.0 200.0 200.0 200.0 200.0 1.96e+01 8.00e+00 2.03e+01 1.58e+01 9.87e+00 2.21e+01
15.0 15.0 15.0 15.0 15.0 15.0 45.0 45.0 45.0 45.0 45.0 45.0 300.0 300.0 300.0 300.0 300.0 300.0 1.39e+01 8.97e+00 2.04e+01 9.17e+00 9.66e+00 2.31e+01
20.0 20.0 20.0 20.0 20.0 20.0 45.0 45.0 45.0 45.0 45.0 45.0 400.0 400.0 195.1 400.0 400.0 400.0 1.63e+01 1.02e+01 7.15e+00 1.13e+01 9.49e+00 2.10e+01
25.0 25.0 25.0 25.0 25.0 25.0 45.0 45.0 45.0 45.0 45.0 45.0 500.0 500.0 500.0 500.0 500.0 158.6 1.60e+01 1.07e+01 1.17e+01 1.20e+01 1.10e+01 5.33e+00
35.0 35.0 35.0 35.0 35.0 35.0 45.0 45.0 45.0 45.0 45.0 45.0 700.0 700.0 700.0 700.0 700.0 700.0 1.23e+01 1.00e+01 1.27e+01 1.13e+01 1.20e+01 1.51e+01
45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 900.0 900.0 900.0 900.0 900.0 900.0 1.04e+01 1.06e+01 1.15e+01 1.19e+01 1.14e+01 1.44e+01
55.0 55.0 55.0 55.0 55.0 55.0 45.0 45.0 45.0 45.0 45.0 45.0 1100.0 1100.0 1100.0 1100.0 1100.0 536.6 1.05e+01 1.11e+01 1.31e+01 1.19e+01 1.13e+01 6.69e+00
65.0 65.0 65.0 65.0 65.0 65.0 45.0 45.0 45.0 45.0 45.0 45.0 1300.0 1300.0 1300.0 1300.0 634.1 1300.0 1.05e+01 1.18e+01 1.22e+01 1.21e+01 6.02e+00 1.33e+01
75.0 75.0 75.0 75.0 75.0 75.0 45.0 45.0 45.0 45.0 45.0 45.0 348.0 348.0 475.8 731.7 348.0 475.8 2.65e+00 2.72e+00 4.13e+00 5.52e+00 2.60e+00 4.11e+00
85.0 85.0 85.0 85.0 85.0 85.0 45.0 45.0 45.0 45.0 45.0 45.0 208.8 154.2 2.5 249.9 178.0 178.0 1.49e+00 1.16e+00 1.00e+00 1.63e+00 1.23e+00 1.43e+00
95.0 95.0 95.0 95.0 95.0 95.0 45.0 45.0 45.0 45.0 45.0 45.0 119.4 107.3 172.3 24.3 107.3 107.3 8.11e-01 7.31e-01 1.02e+00 1.00e+00 6.71e-01 7.81e-01
105.0 105.0 105.0 105.0 105.0 105.0 45.0 45.0 45.0 45.0 45.0 45.0 88.8 74.6 118.6 97.3 81.3 2.0 5.08e-01 4.40e-01 6.45e-01 5.61e-01 4.62e-01 1.00e+00
115.0 115.0 115.0 115.0 115.0 115.0 45.0 45.0 45.0 45.0 45.0 45.0 69.6 64.4 89.0 32.7 59.7 75.3 3.81e-01 3.41e-01 4.30e-01 1.00e+00 3.08e-01 4.29e-01
125.0 125.0 125.0 125.0 125.0 125.0 45.0 45.0 45.0 45.0 45.0 45.0 60.3 52.4 70.0 70.0 52.4 60.3 3.05e-01 2.66e-01 3.09e-01 3.27e-01 2.50e-01 3.36e-01
